ticker,event_id,event_slug,event_title,event_endDate,event_startDate,market_id,market_slug,target,prob_yes,sort_key,volume,liquidity,lastTradePrice,bestBid,bestAsk
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031675,meta-above-540-on-january-30-2026,$540,0.994,540.0,623.267899,3988.518,0.998,0.99,0.998
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031677,meta-above-560-on-january-30-2026,$560,0.9745,560.0,291.474014,7431.53502,0.98,0.969,0.98
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031679,meta-above-580-on-january-30-2026,$580,0.915,580.0,3204.240655,9972.0214,0.92,0.9,0.93
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031681,meta-above-600-on-january-30-2026,$600,0.895,600.0,1886.706789,4677.5197,0.9,0.88,0.91
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031683,meta-above-620-on-january-30-2026,$620,0.77,620.0,1409.158432,1277.317,0.8,0.76,0.78
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031685,meta-above-640-on-january-30-2026,$640,0.63,640.0,1926.25,3948.3901,0.62,0.61,0.65
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031687,meta-above-660-on-january-30-2026,$660,0.46,660.0,2253.754383,3361.0777,0.42,0.44,0.48
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031689,meta-above-680-on-january-30-2026,$680,0.29,680.0,2454.773702,5468.9385,0.26,0.26,0.32
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031691,meta-above-700-on-january-30-2026,$700,0.16,700.0,2819.745382,6823.6645,0.15,0.15,0.17
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031693,meta-above-720-on-january-30-2026,$720,0.08,720.0,2519.287706,4380.861,0.1,0.05,0.11
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031695,meta-above-740-on-january-30-2026,$740,0.045,740.0,1579.841427,4606.28514,0.07,0.03,0.06
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031696,meta-above-760-on-january-30-2026,$760,0.0305,760.0,843.88,5241.03153,0.059,0.021,0.04
META,125813,meta-above-in-january-2026,Will Meta (META) close above ___ end of January?,2026-01-30T21:00:00Z,2025-12-26T23:34:22.755848Z,1031697,meta-above-780-on-january-30-2026,$780,0.011,780.0,398.431266,2378.50968,0.03,0.003,0.019
