ticker,event_id,event_slug,event_title,event_endDate,event_startDate,market_id,market_slug,target,prob_yes,sort_key,volume,liquidity,lastTradePrice,bestBid,bestAsk
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146562,will-meta-close-below-600-week-january-16-2026,<$600,0.015,599.9,9.1465,3791.74868,,0.01,0.02
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146564,will-meta-close-between-600-and-610-week-january-16-2026,$600-$610,0.225,600.0,10.0,102.0008,,0.03,0.42
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146566,will-meta-close-between-610-and-620-week-january-16-2026,$610-$620,0.225,610.0,,117.9508,,0.03,0.42
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146567,will-meta-close-between-620-and-630-week-january-16-2026,$620-$630,0.235,620.0,,96.1907,,0.04,0.43
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146569,will-meta-close-between-630-and-640-week-january-16-2026,$630-$640,0.275,630.0,,112.0863,,0.08,0.47
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146570,will-meta-close-between-640-and-650-week-january-16-2026,$640-$650,0.315,640.0,,116.3208,,0.12,0.51
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146571,will-meta-close-between-650-and-660-week-january-16-2026,$650-$660,0.33,650.0,,101.4734,,0.13,0.53
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146572,will-meta-close-between-660-and-670-week-january-16-2026,$660-$670,0.275,660.0,,102.4463,,0.08,0.47
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146573,will-meta-close-between-670-and-680-week-january-16-2026,$670-$680,0.255,670.0,,102.2885,,0.06,0.45
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146574,will-meta-close-between-680-and-690-week-january-16-2026,$680-$690,0.215,680.0,,88.9119,,0.02,0.41
META,154131,meta-week-january-16-2026,Meta (META) closes week of Jan 12 at ___?,2026-01-16T21:00:00Z,2026-01-09T23:25:02.384849Z,1146575,will-meta-close-above-690-week-january-16-2026,>$690,0.215,690.1,10.0,87.5119,,0.02,0.41
