ticker,event_id,event_slug,event_title,event_endDate,event_startDate,market_id,market_slug,target,prob_yes,sort_key,volume,liquidity,lastTradePrice,bestBid,bestAsk
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016020,will-meta-dip-to-470-in-january,↓ $470,0.0175,470.0,195.584832,6830.2496,0.058,0.01,0.025
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016019,will-meta-dip-to-520-in-january,↓ $520,0.027,520.0,318.7953,2817.24544,0.012,0.013,0.041
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016018,will-meta-dip-to-560-in-january,↓ $560,0.054,560.0,2282.833822,4399.82074,0.042,0.041,0.067
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016017,will-meta-dip-to-590-in-january,↓ $590,0.205,590.0,481.206981,807.139,0.19,0.19,0.22
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016016,will-meta-dip-to-620-in-january,↓ $620,0.47,620.0,962.038908,914.5401,0.62,0.46,0.48
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016015,will-meta-dip-to-640-in-january,↓ $640,1.0,640.0,3585.658712,,0.999,0.999,1.0
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016014,will-meta-dip-to-660-in-january,↓ $660,1.0,660.0,9915.74586,,1.0,0.998,0.999
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016013,will-meta-reach-680-in-january,↑ $680,0.5805,680.0,1734.484565,798.14545,0.604,0.557,0.604
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016012,will-meta-reach-700-in-january,↑ $700,0.405,700.0,404.0,825.436,0.38,0.38,0.43
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016011,will-meta-reach-720-in-january,↑ $720,0.225,720.0,555.871292,359.0492,0.21,0.19,0.26
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016010,will-meta-reach-750-in-january,↑ $750,0.08,750.0,1745.329623,1540.9547,0.07,0.07,0.09
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016009,will-meta-reach-790-in-january,↑ $790,0.0135,790.0,5206.220368,2437.97295,0.022,0.007,0.02
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016008,will-meta-reach-830-in-january,↑ $830,0.023,830.0,181.0,5792.91978,,0.008,0.038
META,122436,what-price-will-meta-hit-in-january-2026,What will Meta (META) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.658468Z,1016007,will-meta-reach-880-in-january,↑ $880,0.012,880.0,768.72695,2179.23192,0.01,0.003,0.021
