ticker,event_id,event_slug,event_title,event_endDate,event_startDate,market_id,market_slug,target,prob_yes,sort_key,volume,liquidity,lastTradePrice,bestBid,bestAsk
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015954,will-msft-dip-to-338-in-january,↓ $338,0.009,338.0,609.463406,4565.11772,0.01,0.006,0.012
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015953,will-msft-dip-to-375-in-january,↓ $375,0.0075,375.0,3283.2,4883.9454,0.003,0.007,0.008
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015952,will-msft-dip-to-405-in-january,↓ $405,0.025,405.0,456.763332,6605.40257,0.027,0.021,0.029
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015951,will-msft-dip-to-428-in-january,↓ $428,0.1,428.0,2069.834196,3916.5347,0.1,0.09,0.11
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015950,will-msft-dip-to-450-in-january,↓ $450,0.375,450.0,1673.631175,336.7053,0.33,0.36,0.39
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015949,will-msft-dip-to-465-in-january,↓ $465,0.59,465.0,2395.568972,1315.47,0.61,0.57,0.61
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015948,will-msft-dip-to-480-in-january,↓ $480,1.0,480.0,14718.306515,,1.0,0.999,1.0
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015947,will-msft-reach-495-in-january,↑ $495,0.61,495.0,1304.513475,1093.5091,0.63,0.59,0.63
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015946,will-msft-reach-510-in-january,↑ $510,0.335,510.0,1750.422875,1023.9721,0.35,0.32,0.35
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015945,will-msft-reach-525-in-january,↑ $525,0.2,525.0,1385.236061,1843.7323,0.17,0.19,0.21
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015944,will-msft-reach-548-in-january,↑ $548,0.055,548.0,1503.467162,2435.50878,0.06,0.045,0.065
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015943,will-msft-reach-578-in-january,↑ $578,0.009,578.0,2744.8,4467.42666,0.005,0.006,0.012
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015942,will-msft-reach-608-in-january,↑ $608,0.008,608.0,588.845689,4419.06235,0.005,0.006,0.01
MSFT,122423,what-price-will-msft-hit-in-january-2026,What will Microsoft (MSFT) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.832218Z,1015941,will-msft-reach-645-in-january,↑ $645,0.0045,645.0,1243.704606,10110.94968,0.012,0.004,0.005
