ticker,event_id,event_slug,event_title,event_endDate,event_startDate,market_id,market_slug,target,prob_yes,sort_key,volume,liquidity,lastTradePrice,bestBid,bestAsk
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016054,will-nvda-dip-to-108-in-january,↓ $108,0.005,108.0,2668.599392,4285.03798,0.01,0.004,0.006
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016053,will-nvda-dip-to-128-in-january,↓ $128,0.0105,128.0,1376.794192,3911.04676,0.015,0.006,0.015
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016052,will-nvda-dip-to-144-in-january,↓ $144,0.006,144.0,3503.515501,6004.48427,0.005,0.002,0.01
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016051,will-nvda-dip-to-156-in-january,↓ $156,0.0445,156.0,2076.044104,4057.4247,0.053,0.034,0.055
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016050,will-nvda-dip-to-168-in-january,↓ $168,0.165,168.0,3684.672799,1742.3722,0.19,0.15,0.18
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016049,will-nvda-dip-to-176-in-january,↓ $176,0.51,176.0,1061.597785,1472.3101,0.56,0.49,0.53
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016048,will-nvda-dip-to-184-in-january,↓ $184,1.0,184.0,19294.508509,,0.999,0.999,1.0
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016047,will-nvda-reach-192-in-january,↑ $192,1.0,192.0,9659.481,,1.0,0.999,1.0
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016046,will-nvda-reach-200-in-january,↑ $200,0.345,200.0,1374.803998,1584.5165,0.32,0.33,0.36
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016045,will-nvda-reach-208-in-january,↑ $208,0.17,208.0,4021.483585,1972.4914,0.16,0.16,0.18
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016044,will-nvda-reach-220-in-january,↑ $220,0.025,220.0,3777.589453,4218.48582,0.029,0.02,0.03
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016043,will-nvda-reach-236-in-january,↑ $236,0.0075,236.0,9813.359434,8616.1062,0.006,0.006,0.009
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016042,will-nvda-reach-252-in-january,↑ $252,0.0055,252.0,606.327666,8686.35602,0.004,0.001,0.01
NVDA,122441,what-price-will-nvda-hit-in-january-2026,What will NVIDIA (NVDA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:14.662736Z,1016041,will-nvda-reach-272-in-january,↑ $272,0.005,272.0,3723.67797,11494.30416,0.004,0.003,0.007
