ticker,event_id,event_slug,event_title,event_endDate,event_startDate,market_id,market_slug,target,prob_yes,sort_key,volume,liquidity,lastTradePrice,bestBid,bestAsk
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016040,will-tsla-dip-to-338-in-january,↓ $338,0.0545,338.0,27412.279113,5058.73247,0.053,0.052,0.057
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016039,will-tsla-dip-to-375-in-january,↓ $375,0.13,375.0,5418.609928,2440.7337,0.12,0.12,0.14
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016037,will-tsla-dip-to-405-in-january,↓ $405,0.345,405.0,10727.002838,1353.8935,0.33,0.32,0.37
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016036,will-tsla-dip-to-428-in-january,↓ $428,1.0,428.0,17708.947398,,0.999,0.999,1.0
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016034,will-tsla-dip-to-450-in-january,↓ $450,1.0,450.0,8900.627121,,1.0,0.999,1.0
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016032,will-tsla-dip-to-465-in-january,↓ $465,1.0,465.0,22551.887,,1.0,0.999,1.0
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016031,will-tsla-dip-to-480-in-january,↓ $480,1.0,480.0,10462.411739,,1.0,0.999,1.0
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016030,will-tsla-reach-495-in-january,↑ $495,0.32,495.0,4050.804033,1647.9608,0.31,0.31,0.33
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016029,will-tsla-reach-510-in-january,↑ $510,0.185,510.0,4479.675415,2171.4356,0.19,0.18,0.19
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016028,will-tsla-reach-525-in-january,↑ $525,0.12,525.0,2022.28081,1924.638,0.12,0.11,0.13
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016027,will-tsla-reach-548-in-january,↑ $548,0.06,548.0,3542.927215,4031.9276,0.05,0.05,0.07
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016026,will-tsla-reach-578-in-january,↑ $578,0.022,578.0,3547.790043,7764.28747,0.02,0.02,0.024
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016025,will-tsla-reach-608-in-january,↑ $608,0.0125,608.0,4202.421334,9770.5478,0.013,0.008,0.017
TSLA,122439,what-price-will-tsla-hit-in-january-2026,What will Tesla (TSLA) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.833949Z,1016024,will-tsla-reach-645-in-january,↑ $645,0.0045,645.0,14472.309871,5886.84329,0.006,0.003,0.006
